id,nom,prenom,civilite,adresse,ville,zipcode,num_tel,email,regime,date_naiss,date_effect,conjointbirthdate,nbrenfants,source,birthdatechild1,birthdatechild2,birthdatechild3,birthdatechild4,birthdatechild5,dcr,soin_medical,hospitalisation,optique,dentaire
1427,Legrand,Julien,Mme,44 Rue de la Paix,Angers,49000,0614299948,julien.legrand1@orange.fr,Régime agricole,02/10/1992,18/03/2020,,1,MH-42,26/12/2018,,,,,10/02/2020 00:00:00,ELEVE,MOYEN,MOYEN,ECO
1428,Faure,Marc,M,40 Rue de la Paix,Reims,51100,0620174020,marcfaure@sfr.fr,Régime général,13/12/1957,21/12/2019,,2,web,19/04/2001,28/05/2016,,,,11/12/2019 00:00:00,ELEVE,MAXI,MOYEN,MAXI
1429,Faure,Brigitte,Mme,64 Rue Nationale,Dijon,21000,0759164491,brigitte_faure@yahoo.fr,Hors sécu,13/09/1943,12/07/2022,18/05/1942,2,web,18/12/2020,06/08/2018,,,,12/06/2022 00:00:00,MOYEN,ELEVE,ELEVE,MOYEN
1430,Petit,Philippe,M,104 Rue des Fleurs,Strasbourg,67000,0634284022,philippepetit@laposte.net,Régime général,11/09/1999,21/04/2020,,0,MH-42,,,,,,10/04/2020 00:00:00,ECO,ELEVE,ELEVE,ELEVE
1431,Legrand,Françoise,M,115 Rue Nationale,Marseille,13001,0704293987,françoiselegrand@laposte.net,Alsace-Moselle,25/04/1965,25/06/2023,08/06/1968,2,fb-mutuelle-senior-mars-1,06/05/1999,14/09/2016,,,,05/06/2023 00:00:00,ELEVE,ELEVE,ECO,ECO
1432,Fournier,Eric,Mme,35 Rue de la Paix,Lyon,69001,0675240033,ericfournier@gmail.com,Régime général,23/09/1943,30/12/2023,,0,web,,,,,,14/10/2023 00:00:00,MOYEN,ECO,MAXI,ECO
1433,Gauthier,Marie,M,89 Rue République,Versailles,78000,0668939276,mariegauthier@hotmail.fr,Régime général,23/10/1953,11/03/2023,,2,fb-compagne-2023,26/05/2019,12/03/2009,,,,26/02/2023 00:00:00,MAXI,MAXI,MAXI,ECO
1434,Laurent,Thomas,Mme,141 Rue Nationale,Montpellier,34000,0670423573,thomas.laurent@sfr.fr,Régime agricole,04/11/1968,30/08/2021,,3,Celibataire_45_Eric,19/09/2016,21/07/2015,21/11/2015,,,16/08/2021 00:00:00,ELEVE,MOYEN,MAXI,MOYEN
1435,Richard,Michel,M,185 Rue de la Paix,Montreuil,93100,0707077508,michelrichard@hotmail.fr,Régime général,19/11/1978,28/04/2023,,2,fb-mutuelle-senior-mars-1,21/02/2002,08/06/2017,,,,13/02/2023 00:00:00,MOYEN,MOYEN,ELEVE,ELEVE
1436,Muller,Alexandre,Mme,33 Rue de la Paix,Villeurbanne,69100,0680595194,alexandremuller@orange.fr,Régime général,07/07/1968,15/07/2025,,1,web,17/07/2011,,,,,08/05/2025 00:00:00,MAXI,MAXI,MAXI,ELEVE
1437,Lefevre,François,M,29 Rue de la Paix,Nîmes,30000,0696745136,françois.lefevre@free.fr,Régime général,04/06/1983,13/04/2022,02/12/1985,3,web,03/10/2012,04/05/2011,07/07/2004,,,12/02/2022 00:00:00,MOYEN,MOYEN,ELEVE,ELEVE
1438,Bernard,Julien,Mme,37 Rue Victor Hugo,Bordeaux,33000,0726787032,julien.bernard@laposte.net,Régime général,08/08/1997,15/03/2019,,0,web,,,,,,10/02/2019 00:00:00,ELEVE,MOYEN,ECO,ELEVE
1439,Richard,Valérie,M,91 Rue République,Toulon,83000,0752112759,valerie_richard@yahoo.fr,Régime TNS,27/09/1998,17/05/2020,,0,web,,,,,,03/04/2020 00:00:00,MAXI,MAXI,MAXI,ELEVE
1440,Richard,Michel,M,137 Rue des Fleurs,Lille,59000,0723065940,michel.richard@yahoo.fr,Régime CFE,08/04/1968,01/08/2024,,0,web,,,,,,01/08/2024 00:00:00,MOYEN,ELEVE,MOYEN,MAXI
1441,Bernard,Jacques,M,34 Rue de la Paix,Montpellier,34000,0641408170,jacques.bernard55@sfr.fr,Régime général,10/07/1961,10/01/2025,,1,zra-sept,03/12/2013,,,,,21/12/2024 00:00:00,ELEVE,ECO,ELEVE,MAXI
1442,Guerin,David,Mme,73 Rue des Fleurs,Grenoble,38000,0703204347,david_guerin@yahoo.fr,Régime TNS,21/08/1967,16/09/2019,,0,web,,,,,,14/09/2019 00:00:00,MOYEN,MOYEN,MOYEN,MAXI
1443,Petit,Laurent,Mme,61 Rue République,Lyon,69001,0757942072,laurentpetit30@laposte.net,Régime général,03/06/1978,13/06/2022,,3,web,10/01/1997,03/01/2010,10/11/2022,,,10/06/2022 00:00:00,ELEVE,MOYEN,MOYEN,MAXI
1444,Gauthier,Chantal,Mme,150 Rue des Fleurs,Toulon,83000,0787767751,chantal.gauthier@sfr.fr,Régime CFE,03/11/1999,05/12/2025,,1,web,17/12/2024,,,,,10/09/2025 00:00:00,ELEVE,MOYEN,MOYEN,ELEVE
1445,Michel,Sébastien,M,165 Rue Victor Hugo,Villeurbanne,69100,0648730451,sebastienmichel@orange.fr,Régime général,18/02/1967,24/11/2019,,0,web,,,,,,10/11/2019 00:00:00,ECO,ELEVE,ELEVE,ECO
1446,Richard,Jacques,Mme,128 Rue des Fleurs,Créteil,94000,0740315758,jacques_richard73@sfr.fr,Régime général,27/08/1959,15/08/2024,,0,web,,,,,,15/08/2024 00:00:00,MOYEN,MAXI,ECO,MOYEN
1447,Mathieu,Martine,Mme,65 Rue de la Paix,Saint-Étienne,42000,0738567020,martinemathieu@free.fr,Alsace-Moselle,02/03/1956,04/05/2020,20/05/1957,2,web,19/04/2014,03/08/2015,,,,10/03/2020 00:00:00,MAXI,ELEVE,MAXI,ELEVE
1448,Martinez,Nicolas,Mme,173 Rue République,Angers,49000,0740789677,nicolasmartinez@sfr.fr,Régime CFE,06/05/1959,15/12/2019,22/06/1959,1,web,24/06/1999,,,,,02/11/2019 00:00:00,ELEVE,ELEVE,MOYEN,ECO
1449,Dumont,Caroline,M,200 Rue Victor Hugo,Montreuil,93100,0640947112,caroline_dumont57@free.fr,Régime général,25/02/1999,26/03/2025,,0,web,,,,,,12/01/2025 00:00:00,ELEVE,ECO,MOYEN,MAXI
1450,Gauthier,Christian,Mme,142 Rue Nationale,Paris,75001,0771864426,christian.gauthier64@hotmail.fr,Régime général,04/05/1948,21/02/2023,,0,MH-60S,,,,,,12/02/2023 00:00:00,MAXI,ELEVE,MAXI,ELEVE
1451,Guerin,Gérard,Mme,178 Rue République,Le Havre,76600,0730732466,gerardguerin@sfr.fr,Régime général,04/02/1971,21/09/2019,,3,web,15/09/2016,08/01/2005,11/03/2012,,,31/08/2019 00:00:00,ECO,MAXI,ELEVE,MOYEN
1452,Clement,Patrick,Mme,132 Rue de la Paix,Lyon,69001,0779989924,patrick_clement@hotmail.fr,Régime agricole,21/04/1958,07/06/2024,,0,MH1,,,,,,31/05/2024 00:00:00,ELEVE,ELEVE,ELEVE,ELEVE
1453,Vincent,Marie,Mme,25 Rue des Fleurs,Dijon,21000,0627591700,marie.vincent98@orange.fr,Régime général,22/02/1997,08/05/2022,14/09/2001,3,web,05/04/2020,27/02/2021,23/06/2020,,,07/03/2022 00:00:00,MOYEN,ELEVE,MOYEN,ELEVE
1454,Lopez,Nicolas,Mme,54 Rue Nationale,Nice,06000,0651231154,nicolas.lopez76@laposte.net,Régime général,26/07/1984,10/03/2024,,0,web,,,,,,29/02/2024 00:00:00,MOYEN,ECO,ELEVE,MOYEN
1455,Mercier,Marie,M,20 Rue République,Paris,75001,0726735384,mariemercier@yahoo.fr,Alsace-Moselle,08/02/1970,28/05/2019,,2,MH-12M,07/10/1999,12/01/2018,,,,21/04/2019 00:00:00,ELEVE,ELEVE,MOYEN,ELEVE
1456,Lambert,Isabelle,M,70 Rue Victor Hugo,Toulouse,31000,0718455375,isabellelambert@yahoo.fr,Régime TNS,11/11/1944,28/11/2023,,0,Celibataire_178_Vital,,,,,,05/10/2023 00:00:00,MOYEN,MOYEN,ELEVE,ELEVE
1457,Blanc,Sophie,Mme,47 Rue Victor Hugo,Toulouse,31000,0635859358,sophie.blanc86@laposte.net,Régime agricole,19/10/1985,24/06/2020,,0,web,,,,,,05/06/2020 00:00:00,MAXI,ELEVE,ELEVE,MOYEN
1458,Rousseau,Jacques,M,55 Rue République,Paris,75001,0742524777,jacques_rousseau36@orange.fr,Régime général,26/01/1983,08/12/2022,23/08/1988,1,web,19/02/2006,,,,,27/09/2022 00:00:00,MOYEN,MOYEN,MOYEN,MOYEN
1459,Henry,Olivier,Mme,100 Rue République,Montpellier,34000,0727553779,olivier.henry@hotmail.fr,Régime général,14/05/2005,09/05/2025,14/01/2007,0,web,,,,,,05/05/2025 00:00:00,ELEVE,MAXI,MOYEN,MOYEN
1460,Vincent,Caroline,Mme,7 Rue Nationale,Créteil,94000,0654539601,caroline_vincent@gmail.com,Régime agricole,01/07/1956,08/06/2025,,1,MH-60S,01/02/2021,,,,,22/04/2025 00:00:00,ELEVE,ELEVE,ELEVE,MOYEN
1461,Perrin,Delphine,M,76 Rue Victor Hugo,Montreuil,93100,0660325039,delphine_perrin@yahoo.fr,Alsace-Moselle,01/08/1987,15/07/2021,,2,couple30_54_Eric,05/07/2017,26/11/2010,,,,30/06/2021 00:00:00,MOYEN,ECO,ELEVE,ELEVE
1462,Moreau,Véronique,Mme,79 Rue des Fleurs,Toulon,83000,0795781273,veroniquemoreau@gmail.com,Régime général,12/10/1972,10/11/2025,03/07/1974,2,web,19/08/2000,14/10/2017,,,,13/09/2025 00:00:00,ELEVE,MOYEN,MAXI,ELEVE
1463,Lopez,Didier,M,171 Rue Victor Hugo,Toulouse,31000,0761764040,didier_lopez@laposte.net,Régime général,05/04/1971,29/05/2022,,2,MH50-Eric,01/05/2001,20/04/2017,,,,25/03/2022 00:00:00,MOYEN,MAXI,MOYEN,ELEVE
1464,Richard,Philippe,Mme,90 Rue de la Paix,Nantes,44000,0628920745,philipperichard68@orange.fr,Régime général,08/07/1969,26/10/2022,,0,web,,,,,,09/10/2022 00:00:00,MOYEN,MAXI,MOYEN,MAXI
1465,Lambert,Laetitia,Mme,156 Rue Nationale,Grenoble,38000,0615100260,laetitia_lambert@free.fr,Régime général,06/05/1972,17/08/2020,23/06/1974,4,MH-30M,25/04/2012,15/11/2013,26/12/2014,15/12/2016,,06/07/2020 00:00:00,MOYEN,ECO,ELEVE,MAXI
1466,Perrin,Nicolas,Mme,88 Rue Victor Hugo,Créteil,94000,0715573105,nicolas.perrin@gmail.com,Régime général,17/12/1985,07/12/2019,,0,web,,,,,,05/10/2019 00:00:00,MAXI,ECO,ELEVE,ELEVE
1467,Guerin,Michel,M,59 Rue de la Paix,Toulon,83000,0697341485,michel.guerin89@hotmail.fr,Hors sécu,22/01/1993,24/04/2025,,2,MH2,16/01/2020,27/04/2016,,,,10/04/2025 00:00:00,ECO,MOYEN,MOYEN,MOYEN
1468,Perrin,Patrick,Mme,156 Rue de la Paix,Boulogne-Billancourt,92100,0722087121,patrickperrin@sfr.fr,Régime général,05/09/2005,18/02/2024,,0,web,,,,,,03/02/2024 00:00:00,MAXI,ECO,MAXI,MOYEN
1469,David,Catherine,Mme,84 Rue des Fleurs,Villeurbanne,69100,0751757903,catherine.david71@yahoo.fr,Régime TNS,11/12/1963,19/02/2022,,1,web,05/01/1998,,,,,17/02/2022 00:00:00,ELEVE,ELEVE,ELEVE,MAXI
1470,Bonnet,Sébastien,M,7 Rue de la Paix,Paris,75001,0788675875,sebastien_bonnet@laposte.net,Régime général,10/10/1950,30/11/2024,,2,web,01/06/2010,09/12/2019,,,,23/11/2024 00:00:00,ELEVE,MOYEN,ELEVE,MOYEN
1471,Petit,Gérard,Mme,33 Rue Nationale,Lille,59000,0686518142,gerard.petit@orange.fr,Régime général,10/01/1980,02/02/2019,,2,web,08/03/2005,20/07/2007,,,,21/01/2019 00:00:00,ELEVE,ELEVE,MAXI,MAXI
1472,Mathieu,Vincent,Mme,38 Rue de la Paix,Rennes,35000,0764349394,vincent.mathieu@free.fr,Régime général,22/01/1945,26/07/2021,,0,MH-80,,,,,,14/07/2021 00:00:00,MAXI,MAXI,MOYEN,MAXI
1473,Dubois,Olivier,Mme,131 Rue République,Toulon,83000,0774911066,olivier_dubois55@laposte.net,Alsace-Moselle,18/11/1970,22/06/2023,,0,fb-compagne-2023,,,,,,27/03/2023 00:00:00,MOYEN,MAXI,MOYEN,MAXI
1474,François,Jacques,M,56 Rue Nationale,Villeurbanne,69100,0701249316,jacquesfrançois@orange.fr,Hors sécu,19/11/1989,26/05/2022,,0,web,,,,,,01/04/2022 00:00:00,ELEVE,ELEVE,MOYEN,MOYEN
1475,David,Olivier,M,96 Rue Nationale,Toulon,83000,0669203273,olivier_david@hotmail.fr,Régime général,09/01/1973,24/11/2025,16/01/1974,2,web,07/10/2005,03/06/2013,,,,13/09/2025 00:00:00,MOYEN,MAXI,ECO,MOYEN
1476,Legrand,Bruno,Mme,148 Rue République,Nantes,44000,0653242566,bruno.legrand@gmail.com,Régime général,28/03/1998,18/10/2020,25/09/2002,0,web,,,,,,31/07/2020 00:00:00,ELEVE,MAXI,ELEVE,ELEVE
1477,Blanc,Annie,Mme,19 Rue Victor Hugo,Strasbourg,67000,0753298568,annie_blanc@sfr.fr,Régime général,20/11/1975,22/02/2019,07/01/1977,0,web,,,,,,04/01/2019 00:00:00,ELEVE,MOYEN,MOYEN,MOYEN
1478,Bernard,Marc,Mme,21 Rue Nationale,Montreuil,93100,0743687163,marcbernard@laposte.net,Régime général,14/01/1974,22/03/2024,13/05/1972,3,web,26/05/2020,28/04/2016,02/01/2009,,,23/12/2023 00:00:00,MOYEN,ELEVE,MAXI,ELEVE
1479,Legrand,Bernard,M,79 Rue de la Paix,Boulogne-Billancourt,92100,0727853141,bernardlegrand@laposte.net,Régime agricole,27/05/1972,17/02/2021,12/05/1972,2,web,14/07/2005,05/09/2018,,,,02/02/2021 00:00:00,ELEVE,ELEVE,ELEVE,MOYEN
1480,Lambert,Catherine,Mme,32 Rue République,Strasbourg,67000,0607132044,catherinelambert@orange.fr,Régime général,22/05/1961,17/08/2024,,2,web,06/11/2022,23/04/2020,,,,12/08/2024 00:00:00,MAXI,ELEVE,MOYEN,ELEVE
1481,Legrand,Jacqueline,Mme,26 Rue Nationale,Marseille,13001,0757677657,jacquelinelegrand@free.fr,Régime agricole,09/11/1981,11/12/2022,23/11/1979,3,couple30_54_Eric,01/07/2010,14/06/2013,27/10/2005,,,09/12/2022 00:00:00,MAXI,ECO,MOYEN,MAXI
1482,Dubois,Françoise,Mme,85 Rue République,Angers,49000,0617504998,françoisedubois@free.fr,Régime général,01/03/1981,20/12/2021,,1,web,05/11/2011,,,,,27/10/2021 00:00:00,MOYEN,MAXI,ELEVE,MOYEN
1483,Martinez,Christine,Mme,166 Rue des Fleurs,Reims,51100,0740067246,christine_martinez@yahoo.fr,Régime général,09/12/1988,10/10/2025,03/07/1993,4,web,18/12/2015,02/12/2020,06/10/2019,15/09/2016,,27/08/2025 00:00:00,ELEVE,MAXI,ELEVE,ELEVE
1484,Richard,Julie,M,68 Rue de la Paix,Bordeaux,33000,0754885587,julie_richard38@orange.fr,Régime général,07/01/1988,22/12/2021,27/10/1990,2,MH-42,27/04/2018,04/02/2021,,,,03/10/2021 00:00:00,MAXI,MOYEN,MOYEN,MAXI
1485,Dupont,Gérard,M,167 Rue des Fleurs,Toulouse,31000,0713556696,gerard.dupont@laposte.net,Régime agricole,09/02/1983,05/02/2023,09/08/1979,3,Celibataire_178_Vital,23/08/2011,11/04/2006,19/08/2020,,,27/12/2022 00:00:00,ELEVE,ELEVE,ELEVE,ECO
1486,Fontaine,Audrey,Mme,29 Rue Nationale,Angers,49000,0646947629,audrey.fontaine@free.fr,Régime général,09/11/1980,30/04/2025,05/09/1975,2,web,13/11/2015,04/12/2024,,,,31/01/2025 00:00:00,ELEVE,ELEVE,MOYEN,MOYEN
1487,Bonnet,Laurent,Mme,187 Rue des Fleurs,Dijon,21000,0610271909,laurent_bonnet@hotmail.fr,Régime général,27/06/1952,04/04/2025,07/08/1948,0,MH80,,,,,,07/01/2025 00:00:00,MOYEN,MOYEN,ELEVE,ELEVE
1488,Blanc,Nicolas,M,164 Rue de la Paix,Versailles,78000,0645624462,nicolas.blanc44@gmail.com,Régime TNS,04/03/1973,16/06/2020,,0,MH-60S,,,,,,05/06/2020 00:00:00,MOYEN,MOYEN,MAXI,MAXI
1489,Perrin,Sylvie,Mme,33 Rue République,Saint-Denis,93200,0681403075,sylvie_perrin@hotmail.fr,Régime général,07/10/1990,10/12/2023,,2,web,17/01/2012,07/05/2019,,,,07/10/2023 00:00:00,ELEVE,MOYEN,MOYEN,ELEVE
1490,Clement,Michel,Mme,13 Rue Nationale,Bordeaux,33000,0750933280,michelclement@laposte.net,Régime TNS,02/03/1949,09/12/2024,10/09/1950,0,MH1,,,,,,28/11/2024 00:00:00,ELEVE,MAXI,MOYEN,MAXI
1491,Leroy,Marie,Mme,159 Rue de la Paix,Bordeaux,33000,0771823532,marie_leroy@free.fr,Régime général,10/01/1990,03/05/2025,,0,web,,,,,,03/05/2025 00:00:00,MOYEN,MAXI,MOYEN,MOYEN
1492,André,Chantal,Mme,28 Rue République,Rennes,35000,0712666153,chantalandre@yahoo.fr,Régime général,13/08/1987,16/09/2021,12/08/1990,1,web,11/04/2014,,,,,22/06/2021 00:00:00,ELEVE,ELEVE,MAXI,MAXI
1493,Roux,Patrick,M,54 Rue République,Nantes,44000,0639062798,patrickroux@laposte.net,Alsace-Moselle,02/12/1978,18/07/2025,,1,web,02/06/2023,,,,,21/06/2025 00:00:00,ELEVE,ELEVE,MAXI,ELEVE
1494,François,Stéphane,M,177 Rue des Fleurs,Grenoble,38000,0627593955,stephane_françois@laposte.net,Régime TNS,23/04/1994,25/09/2024,,3,Celibataire_45_Eric,27/02/2015,28/10/2022,08/01/2015,,,27/08/2024 00:00:00,MAXI,MOYEN,MOYEN,MOYEN
1495,Fontaine,Nathalie,M,168 Rue République,Marseille,13001,0600443643,nathalie_fontaine27@orange.fr,Régime général,06/11/1978,05/04/2022,,0,web,,,,,,24/03/2022 00:00:00,ELEVE,MAXI,MAXI,MOYEN
1496,Richard,Corinne,Mme,43 Rue Nationale,Bordeaux,33000,0783527808,corinne_richard@sfr.fr,Régime général,23/03/1993,21/11/2020,,1,web,02/11/2020,,,,,18/10/2020 00:00:00,ELEVE,ELEVE,ELEVE,MAXI
1497,Roussel,Sophie,M,163 Rue Victor Hugo,Strasbourg,67000,0786775465,sophieroussel22@free.fr,Régime général,25/09/1994,10/07/2024,,2,PROGES,02/01/2024,02/01/2015,,,,29/05/2024 00:00:00,MOYEN,MOYEN,ECO,ELEVE
1498,Morin,Jacqueline,Mme,91 Rue Nationale,Paris,75001,0715463517,jacqueline_morin97@free.fr,Régime général,09/05/1992,16/05/2025,,1,MH-50M-Eric,06/04/2019,,,,,14/03/2025 00:00:00,ELEVE,MOYEN,ECO,MAXI
1499,Lopez,Philippe,Mme,4 Rue de la Paix,Grenoble,38000,0637522964,philippelopez@orange.fr,Hors sécu,22/10/1976,12/12/2019,19/06/1972,0,web,,,,,,06/10/2019 00:00:00,MOYEN,MOYEN,ECO,MOYEN
1500,Simon,Gérard,M,163 Rue République,Nantes,44000,0672376604,gerard.simon55@orange.fr,Régime général,11/03/1939,27/03/2020,12/06/1940,0,web,,,,,,28/12/2019 00:00:00,ELEVE,ELEVE,ELEVE,ECO
1501,Laurent,Sophie,M,40 Rue Victor Hugo,Villeurbanne,69100,0610935243,sophielaurent82@yahoo.fr,Régime général,02/08/1950,26/06/2022,,0,MH-32MC,,,,,,11/06/2022 00:00:00,ELEVE,MAXI,ELEVE,ELEVE
1502,Dumont,Nathalie,M,85 Rue Victor Hugo,Versailles,78000,0687834767,nathaliedumont57@sfr.fr,Alsace-Moselle,19/05/1963,22/05/2023,09/09/1966,1,web,26/08/2023,,,,,21/02/2023 00:00:00,MOYEN,ELEVE,ELEVE,ELEVE
1503,Fournier,Patricia,M,54 Rue des Fleurs,Saint-Étienne,42000,0782508559,patricia.fournier@orange.fr,Régime général,13/07/1979,11/09/2024,,2,web,08/09/2002,27/11/2011,,,,02/09/2024 00:00:00,ELEVE,ELEVE,ELEVE,ELEVE
1504,Legrand,Gérard,M,125 Rue Victor Hugo,Saint-Denis,93200,0768927047,gerard.legrand@yahoo.fr,Régime agricole,13/07/1994,20/11/2023,,2,web,26/04/2021,15/06/2021,,,,16/10/2023 00:00:00,MOYEN,ELEVE,ELEVE,ECO
1505,Bertrand,David,Mme,99 Rue des Fleurs,Le Havre,76600,0792449403,davidbertrand@hotmail.fr,Régime général,04/07/1977,07/12/2021,20/05/1981,3,DR,18/02/2009,28/07/2020,06/07/2005,,,13/09/2021 00:00:00,ELEVE,MAXI,ECO,ELEVE
1506,Bonnet,Valérie,M,70 Rue de la Paix,Villeurbanne,69100,0631838016,valeriebonnet61@laposte.net,Régime général,14/06/1960,24/01/2023,,0,web,,,,,,15/01/2023 00:00:00,ELEVE,ELEVE,MOYEN,ELEVE
1507,Leroy,Julie,M,41 Rue de la Paix,Créteil,94000,0663185200,julieleroy13@yahoo.fr,Régime TNS,16/04/1952,25/09/2023,,2,fb-compagne-2023,21/04/2004,26/09/2004,,,,20/09/2023 00:00:00,ELEVE,MAXI,MAXI,ELEVE
1508,Robert,Sylvie,M,75 Rue de la Paix,Strasbourg,67000,0612702318,sylvierobert@free.fr,Régime général,21/07/1990,01/02/2023,,0,web,,,,,,30/01/2023 00:00:00,ELEVE,ELEVE,ELEVE,ELEVE
1509,Nicolas,Catherine,M,125 Rue République,Reims,51100,0790001917,catherine_nicolas@hotmail.fr,Régime agricole,28/01/1963,07/06/2019,,0,web,,,,,,24/05/2019 00:00:00,MAXI,MOYEN,MAXI,MOYEN
1510,Fournier,Stéphane,M,30 Rue République,Dijon,21000,0654746911,stephane_fournier92@laposte.net,Régime général,07/05/1988,04/08/2021,,0,MH-30M,,,,,,20/05/2021 00:00:00,MAXI,MOYEN,MAXI,ELEVE
1511,Leroy,Jean,Mme,3 Rue des Fleurs,Grenoble,38000,0649123216,jeanleroy48@laposte.net,Régime TNS,06/09/1998,01/06/2025,,1,web,02/01/2021,,,,,12/03/2025 00:00:00,MOYEN,MAXI,MAXI,MAXI
1512,Gauthier,Olivier,M,42 Rue de la Paix,Marseille,13001,0611679542,oliviergauthier50@laposte.net,Régime général,05/04/1969,18/06/2021,,3,MH2,06/06/1997,13/08/1999,05/06/2016,,,29/05/2021 00:00:00,ELEVE,MAXI,ELEVE,ELEVE
1513,Fontaine,Philippe,M,120 Rue des Fleurs,Argenteuil,95100,0729025153,philippefontaine@free.fr,Régime général,15/07/2001,29/07/2024,,0,web,,,,,,16/07/2024 00:00:00,MAXI,MAXI,ECO,ELEVE
1514,Garcia,Didier,Mme,54 Rue de la Paix,Argenteuil,95100,0705319841,didier.garcia@laposte.net,Régime général,06/03/2001,21/01/2021,03/05/1997,0,web,,,,,,24/11/2020 00:00:00,MAXI,ELEVE,ELEVE,ELEVE
1515,Morel,Sébastien,Mme,16 Rue Victor Hugo,Paris,75001,0784679700,sebastienmorel@laposte.net,Régime général,17/05/1973,19/03/2024,14/05/1970,0,web,,,,,,07/01/2024 00:00:00,MOYEN,ELEVE,MAXI,ELEVE
1516,Roux,Françoise,Mme,22 Rue Nationale,Versailles,78000,0672797328,françoise.roux89@sfr.fr,Régime général,11/01/1983,23/04/2019,,1,MH-42,11/06/2012,,,,,08/04/2019 00:00:00,ELEVE,MAXI,ELEVE,ELEVE
1517,Martin,Laurent,M,99 Rue des Fleurs,Reims,51100,0619905024,laurent.martin@free.fr,Régime général,25/02/2001,31/03/2025,01/05/2003,0,web,,,,,,19/02/2025 00:00:00,ELEVE,MAXI,MAXI,MOYEN
1518,Dumont,David,Mme,139 Rue République,Bordeaux,33000,0796886312,david_dumont95@hotmail.fr,Régime général,26/08/1947,16/11/2019,02/08/1951,0,web,,,,,,28/09/2019 00:00:00,ELEVE,MAXI,MAXI,MAXI
1519,Fournier,David,Mme,86 Rue Nationale,Angers,49000,0767761952,david_fournier@sfr.fr,Régime général,08/02/1958,22/04/2019,,2,web,04/09/1998,04/01/2001,,,,14/04/2019 00:00:00,ELEVE,ELEVE,MAXI,MOYEN
1520,Dubois,Eric,M,195 Rue de la Paix,Nîmes,30000,0623804534,eric_dubois@sfr.fr,Régime général,15/02/1992,12/07/2019,,1,couple30_54_Eric,16/02/2014,,,,,29/04/2019 00:00:00,MOYEN,ELEVE,ELEVE,MOYEN
1521,Leroy,Alexandre,Mme,135 Rue des Fleurs,Rennes,35000,0735872729,alexandreleroy93@yahoo.fr,Régime agricole,24/04/1950,17/12/2023,21/06/1946,1,web,23/11/2005,,,,,09/12/2023 00:00:00,MAXI,MOYEN,MOYEN,MAXI
1522,Perrin,Céline,Mme,79 Rue Nationale,Paris,75001,0784427398,celine.perrin@orange.fr,Régime CFE,09/12/1994,12/01/2023,19/04/1990,2,MH-12M,22/07/2014,23/04/2016,,,,22/10/2022 00:00:00,MAXI,MAXI,MAXI,ELEVE
1523,Dumont,Laurent,Mme,104 Rue Victor Hugo,Montpellier,34000,0673533406,laurentdumont14@yahoo.fr,Hors sécu,18/02/1967,10/08/2023,,0,web,,,,,,29/05/2023 00:00:00,ELEVE,ELEVE,ELEVE,ELEVE
1524,David,Nicolas,Mme,66 Rue République,Bordeaux,33000,0663628862,nicolas.david@yahoo.fr,Régime agricole,04/01/1956,20/09/2023,12/02/1959,0,web,,,,,,11/08/2023 00:00:00,ELEVE,MOYEN,ECO,MOYEN
1525,Roux,Véronique,Mme,120 Rue République,Reims,51100,0794495742,veronique.roux@laposte.net,Régime général,04/12/1978,15/05/2019,,2,fb-compagne-2023,07/05/1999,05/05/2011,,,,12/05/2019 00:00:00,MOYEN,MOYEN,MOYEN,ECO
1526,Perrin,Christophe,M,70 Rue Nationale,Argenteuil,95100,0646429987,christophe.perrin@orange.fr,Régime agricole,08/07/1985,16/07/2022,,2,web,06/02/2011,04/02/2003,,,,10/05/2022 00:00:00,MOYEN,MOYEN,MOYEN,MAXI
1527,Morin,Sylvie,Mme,1 Rue de la Paix,Villeurbanne,69100,0751451834,sylvie_morin88@sfr.fr,Alsace-Moselle,16/09/1964,23/04/2021,26/10/1959,0,web,,,,,,16/04/2021 00:00:00,ELEVE,ELEVE,MOYEN,MAXI
1528,Martinez,Monique,M,186 Rue des Fleurs,Angers,49000,0624643786,monique.martinez7@orange.fr,Alsace-Moselle,11/05/1993,05/09/2021,,0,web,,,,,,18/08/2021 00:00:00,MAXI,MOYEN,MAXI,MAXI
1529,Lambert,David,Mme,38 Rue de la Paix,Paris,75001,0790650614,david_lambert@gmail.com,Régime général,24/07/1974,15/11/2019,,4,PROGES,24/02/2007,26/07/2019,14/11/2000,15/12/2012,,18/10/2019 00:00:00,MOYEN,MOYEN,MOYEN,MOYEN
1530,Simon,Philippe,M,43 Rue des Fleurs,Rennes,35000,0783212086,philippe.simon@orange.fr,Régime général,24/03/2001,21/02/2019,,2,web,02/07/2019,25/05/2019,,,,06/02/2019 00:00:00,ELEVE,ELEVE,ELEVE,MOYEN
1531,Lefevre,Christine,Mme,9 Rue de la Paix,Lyon,69001,0641442460,christinelefevre63@free.fr,Régime général,20/08/1953,29/03/2025,20/10/1952,1,couple30_54_Vital,17/08/2005,,,,,22/02/2025 00:00:00,MAXI,MAXI,MOYEN,MOYEN
1532,Blanc,Audrey,M,190 Rue des Fleurs,Le Havre,76600,0775763798,audrey.blanc44@sfr.fr,Régime général,12/12/1998,05/12/2020,,0,web,,,,,,25/11/2020 00:00:00,ELEVE,MOYEN,ELEVE,MAXI
